,0
US,0.040006229749867075
Canada,0.04004805905466625
Germany,0.04005182636304307
Netherlands,0.04005247271339806
France,0.04005141407310277
Spain,0.04005145376455399
Switzerland,0.040047520419927596
Belgium,0.040051990820535455
Brasil,0.04004931296648106
Mexico,0.04003699610212499
Argentina,0.04003709321787161
Israel,0.039780442169834083
Australia,0.04005002886248225
Indonesia,0.04004272932275778
HongKong,0.040046799566310715
Korea,0.040045696312171655
Japan,0.04003152836624872
India,0.040048056584904915
China,0.03987013992244154
Taiwan,0.04003332810693982
