,0
US,-0.11059863911165121
Canada,-0.0367250925340403
Germany,-0.021113040852036656
Netherlands,-0.013107723759335853
France,-0.03408602342412147
Spain,-0.0037483899285370055
Switzerland,0.03125226915178328
Belgium,0.04789590768189737
Brasil,-0.0017353124314769238
Mexico,0.11741678317724202
Argentina,0.06491880603306338
Israel,0.23041892893741173
Australia,0.08357431124642078
Indonesia,0.15737277056724994
HongKong,0.017990417263021724
Korea,0.034826065665123876
Japan,0.02986947435548822
India,0.09359742851062443
China,0.048849436710302944
Taiwan,0.06356474120123314
