,0
US,0.17791845750860208
Canada,0.22491251230783987
Germany,0.10727921567936
Netherlands,0.1382725880863831
France,0.10645961942312054
Spain,0.1095596297806502
Switzerland,0.16298878450544907
Belgium,0.15464058390417285
Brasil,0.0984417457122092
Mexico,0.12496358683894343
Argentina,0.14235188688437528
Israel,0.2125095238798671
Australia,0.178525125567004
Indonesia,0.15745708051559448
HongKong,0.12469619969993101
Korea,0.1399847302377178
Japan,0.1244285883899392
India,0.1762959429260807
China,0.10956072248214738
Taiwan,0.10291980147028629
